,name,price,sex,jewel_type,brand,material,color,index,age,income
0,Set Necklace & Earrings Gloria Hope Silver / Pearl,75,Women,Necklaces,Gloria Hope,Metal Alloy,White,7919,50,<=50K
1,Set Necklace & Earrings Gloria Hope Silver / Pearl,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,1660,28,<=50K
2,Set Necklace & Earrings Gloria Hope Silver / Pearl,99,Women,Necklaces,Gloria Hope,Metal Alloy,White,3492,34,<=50K
3,Set Necklace & Earrings Gloria Hope Silver,69,Women,Necklaces,Gloria Hope,Silver,White,1002,26,<=50K
4,Necklace tear Gloria Hope Silver,69,Women,Necklaces,Gloria Hope,Metal Alloy,White,6804,44,<=50K
5,Earrings Gloria Hope Silver,169,Women,Earrings,Gloria Hope,Metal Alloy,White,4164,35,<=50K
6,Bracelet Gloria Hope Silver,89,Women,Bracelet,Gloria Hope,Metal Alloy,White,3776,34,<=50K
7,Ring with emerald,1650,Women,Ring,Haritidis,Gold 18ct.,White,702,25,<=50K
8,Monoch Ring,1200,Women,Ring,Haritidis,Gold 18ct.,Gold,635,25,<=50K
9,Ring halfway,1180,Women,Ring,Haritidis,Gold 18ct.,White,6013,41,<=50K
10,Ring halfway,980,Women,Ring,Haritidis,Gold 18ct.,White,3843,34,<=50K
11,Ring halfway,1850,Women,Ring,Haritidis,Gold 18ct.,White,5287,39,>50K
12,Ring halfway,2200,Women,Ring,Haritidis,Gold 18ct.,White,2524,31,<=50K
13,Monoch Ring,1050,Women,Ring,Haritidis,Gold 18ct.,White,4540,36,<=50K
14,Monoch Ring,1030,Women,Ring,Haritidis,Gold 18ct.,White,749,25,<=50K
15,Ring with topaz,640,Women,Ring,Haritidis,Gold 18ct.,White,5545,39,<=50K
16,Ring with emerald,800,Women,Ring,Haritidis,Gold 18ct.,Gold,1647,28,<=50K
17,Ring with emerald,700,Women,Ring,Haritidis,Gold 18ct.,Gold,5852,40,>50K
18,Ring with emerald,2000,Women,Ring,Haritidis,Gold 18ct.,Gold,1737,28,<=50K
19,Ring with sapphire,950,Women,Ring,Haritidis,Gold 18ct.,White,2672,31,>50K
20,Ring with white topaz,1000,Women,Ring,Haritidis,Gold 18ct.,White,1773,28,<=50K
21,Ring with sapphire,1350,Women,Ring,Haritidis,Gold 18ct.,White,4379,36,<=50K
22,Ring halfway,1340,Women,Ring,Haritidis,Gold 18ct.,Gold,7598,48,>50K
23,Earrings tear Gloria Hope Silver / Pearl,69,Women,Earrings,Gloria Hope,Metal Alloy,White,2965,32,<=50K
24,Earrings tear Gloria Hope Silver,99,Women,Earrings,Gloria Hope,Metal Alloy,White,881,26,<=50K
25,Earrings Gloria Hope Silver,69,Women,Earrings,Gloria Hope,Metal Alloy,White,2671,31,<=50K
26,Set Necklace & Earrings Gloria Hope Silver,139,Women,Necklaces,Gloria Hope,Metal Alloy,White,6155,42,>50K
27,Earrings tear Gloria Hope Silver,115,Women,Earrings,Gloria Hope,Metal Alloy,White,1253,27,<=50K
28,Set Necklace & Earrings Gloria Hope Silver,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,1264,27,<=50K
29,Set Necklace & Earrings Gloria Hope Silver,115,Women,Necklaces,Gloria Hope,Metal Alloy,White,2040,29,<=50K
30,Set Necklace & Earrings Gloria Hope Silver,109,Women,Necklaces,Gloria Hope,Metal Alloy,White,4216,35,>50K
31,Earrings Gloria Hope Silver,59,Women,Earrings,Gloria Hope,Metal Alloy,White,7074,45,<=50K
32,Necklace tear Gloria Hope Silver,79,Women,Necklaces,Gloria Hope,Metal Alloy,White,4005,35,<=50K
33,Set Necklace & Earrings Gloria Hope Silver / Pearl,79,Women,Necklaces,Gloria Hope,Metal Alloy,White,606,25,<=50K
34,Necklace tear Gloria Hope Rose Gold,100,Women,Necklaces,Gloria Hope,Metal Alloy,Rose,1855,29,>50K
